TransactionID,Date,Product,amount,place
1,2/1/2024,Grenadillo,2,CD
2,8/27/2024,Soup Knorr Chili With Beans,8,US
3,6/20/2024,Wine - Guy Sage Touraine,1,BR
4,5/1/2024,Cheese - Valancey,7,TH
5,8/8/2024,"Pork - Tenderloin, Fresh",8,CN
6,1/3/2024,Transfer Sheets,7,US
7,4/1/2024,"Wine - White, Mosel Gold",6,US
8,9/9/2023,"C - Plus, Orange",8,US
9,7/5/2024,"Sparkling Wine - Rose, Freixenet",9,PE
10,6/3/2024,Ecolab - Hobart Upr Prewash Arm,4,BR
11,5/1/2024,Crush - Cream Soda,1,IN
12,10/21/2023,Beef - Top Butt,8,YE
13,2/15/2024,Arizona - Green Tea,9,US
14,10/3/2023,"Crab - Dungeness, Whole, live",5,US
15,10/5/2023,Tart - Butter Plain Squares,6,AR
16,11/12/2023,Vinegar - Champagne,8,DE
17,3/20/2024,Tart - Lemon,5,US
18,7/30/2024,"Chicken - Leg, Fresh",4,US
19,8/13/2024,Meldea Green Tea Liquor,7,US
20,3/12/2024,Bread - Kimel Stick Poly,10,PG
21,2/19/2024,Sun - Dried Tomatoes,8,ZM
22,8/1/2024,Maple Syrup,6,AU
23,2/8/2024,Veal - Striploin,7,MG
24,8/13/2024,"Stock - Veal, Brown",10,ID
25,5/10/2024,Cheese - Ermite Bleu,2,US
26,1/6/2024,Wine - Redchard Merritt,1,US
27,2/20/2024,Chocolate - Chips Compound,10,US
28,2/12/2024,Grapefruit - Pink,6,CN
29,9/8/2023,Red Currant Jelly,2,GB
30,8/4/2024,Sauce - Hollandaise,4,US
31,10/3/2023,Greens Mustard,8,TH
32,8/9/2024,Chocolate - Mi - Amere Semi,10,AU
33,7/9/2024,Bay Leaf Ground,9,TH
34,4/3/2024,Filter - Coffee,6,US
35,3/2/2024,Wine - Magnotta - Pinot Gris Sr,10,MH
36,9/25/2023,Peas Snow,7,UA
37,7/5/2024,Appetizer - Smoked Salmon / Dill,3,CA
38,7/11/2024,Onion Powder,5,PG
39,1/15/2024,Beer - Moosehead,2,BR
40,2/26/2024,Soup - Campbells Chicken,10,US
41,6/22/2024,"Beans - Kidney, Red Dry",7,AO
42,5/23/2024,Wine - Coteaux Du Tricastin Ac,10,US
43,1/19/2024,Chicken - Base,1,NP
44,5/6/2024,Extract - Lemon,4,US
45,7/4/2024,Bagel - Sesame Seed Presliced,6,TW
46,7/5/2024,Veal - Kidney,8,ZA
47,10/2/2023,Cheese - Brie Roitelet,9,IN
48,5/14/2024,Beer - Steamwhistle,9,SR
49,7/6/2024,Wine - Pinot Noir Latour,5,RU
50,8/28/2024,"Mustard - Dry, Powder",1,US
51,11/8/2023,Bar Mix - Lime,6,WS
52,10/11/2023,Pork Casing,3,US
53,11/13/2023,Zucchini - Green,3,RU
54,7/25/2024,Bread - Bistro White,4,US
